star_id,kepid,sde,snr,period,depth_ppm,duration_hours,n_transits_expected,n_in_transit_points,odd_even_ratio,odd_even_diff_sig,sec_depth_ratio,sec_depth_sig,quarter_recurrence,v_shape_metric,local_snr,residual_sde,scatter_ppm,scatter_mad_ppm,depth_to_scatter,radius_ratio,alias_ratio_half,alias_ratio_double,alias_ratio_triple,label,injected,period_days,depth_ppm_true,has_planet
KIC_10002867,10002867,26.43316113363839,216.85270841177908,144.62993440246885,3504.720212824246,19.200000000000003,10,290,3.4305509504366634,0.16797670775673473,0.4516749626893405,3.347929210665867,0.47058823529411764,5.0,8.890765451332497,77.9267744059889,888.8823756512332,275.60097755058473,12.716646522710457,0.05920067746930136,0.5738902506496579,0.5927731391009289,0.8037228764066667,0,0.0,,,0
KIC_10006971,10006971,13.188310107154098,398.4649381329741,246.66909110512253,13220.413092103041,19.200000000000003,5,132,0.0387345024399131,3.026172417389957,0.0,0.0,0.29411764705882354,4.800098693027599,5.543353810768582,91.77710403934356,2989.5893134843955,381.74768676755934,34.631285402268226,0.11498005519264218,0.4050999997431894,1.02887461121219,3.353434413414396,0,0.0,,,0
KIC_10057494,10057494,10.435786327407437,212.9093743140979,368.1143102870017,6724.036693204438,19.200000000000003,3,61,1.0434460032187567,0.5335061973318396,0.013990991246693228,3.9300007441983413,0.1111111111111111,1.5022825458495512,21.082450991562297,36.65952278649327,462.0248466249277,247.12445998393852,27.209110314865054,0.08200022373874621,0.3994365971380047,0.5674734949117859,0.5679510956035094,1,0.0,,,1
KIC_10058491,10058491,20.38852895527208,317.83251692245506,61.383772631412526,1643.536703328807,19.200000000000003,23,649,0.11929057541707475,0.12727916868878983,0.4742248618547148,2.4240168215823106,0.8333333333333334,5.0,2.226927615820163,37.617403398718466,792.6266844542503,132.10979656175817,12.440687565213931,0.04054055627798917,0.6717936712284152,1.7480530160535306,3.3253877028514047,0,1.0,211.75013,204.8,1
KIC_10089175,10089175,10.573212696371751,207.01848770906162,340.0246084838295,5020.577325374051,19.200000000000003,4,68,8.13928136447998e-05,16.51075715281863,0.0036099441983388526,0.4272737375321397,0.14285714285714285,3.166268566396651,80.80437761006796,47.419109028568414,521.4902642835416,200.256850801653,25.07068949339839,0.07085603238521086,0.44262771074734497,1.9987627359439777,2.020446028701574,0,1.0,53.02054,1569.3,1
KIC_10094670,10094670,18.792875859309795,163.86255829957582,194.2347745567849,3317.312632941094,19.200000000000003,7,97,0.32409055555203525,7.080109647932417,0.0,0.0,0.21428571428571427,2.7869423944148988,105.90368474403905,82.53412267838024,583.4134586569952,199.58131428912588,16.62135879181269,0.05759611647447329,0.4038428283465304,0.853531696430269,1.4374718133719215,1,0.0,,,1
KIC_10097171,10097171,34.088794568202424,521.3930041834475,149.4082630346901,11533.404158239242,9.600000000000001,9,138,0.0715291322287333,0.09031042607003635,0.0363691575870672,0.22057662302507705,0.5714285714285714,4.995974183581443,0.9509914609731179,53.02725101769964,1942.5769681319725,260.0768497390932,44.34613911161048,0.10739368770202112,0.5975487098849601,0.5861204825309239,0.8257286914868341,0,1.0,34.35217,202.2,1
KIC_10189884,10189884,23.272522960336364,251.51307877390576,61.346877185879904,1995.0928018687255,28.799999999999997,23,977,0.0,0.278890475414639,0.42158162872997984,2.745308517799776,0.9411764705882353,5.0,5.8889072030626135,34.574435474218674,1071.5676834653011,248.86387673456244,8.01680351542818,0.04466646171199064,0.668578332072855,1.6915998371231973,3.5140239185779834,0,1.0,212.60172,139.7,1
KIC_10190481,10190481,13.321144359982918,745.239974686445,368.0897652421417,20499.50235612,19.200000000000003,3,68,0.565518092039825,7.141555478882899,0.0035762353042342594,3.0543036087521367,0.11764705882352941,1.896611845176526,22.46387477886014,67.65720596648066,1024.000454054683,227.0906750816739,90.27011940823763,0.14317647277440523,0.39481485187586846,0.8570839498442681,0.8605304848013986,0,0.0,,,0
KIC_10208470,10208470,13.23308013171384,258.3460274264872,311.06081275277757,9988.724300867027,19.200000000000003,4,132,10.0,19.61450657952155,0.000563826986776605,0.17430277522017693,0.23529411764705882,2.6551139164552877,315.0792900772852,64.74119327247081,1913.2383054563554,444.87552100154153,22.45285215599088,0.0999436056026949,0.47429850323149975,0.9026554077270373,1.951492804239283,0,0.0,,,0
